"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"LAN2024091400","NYA",1,0,0,0,0,"X",0,0,"joned101","?","joned101","?","walkb101","?","walkb101","?","lewij101","martj101","leecj101","robim101","clarm101","garca101","thomj101","wangz101","","","","S7","T","F",8,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"LAN2024091400","NYA",1,0,0,1,1,"CFX",0,0,"smitb101","?","smitb101","?","walkb101","?","walkb101","?","lewij101","martj101","leecj101","robim101","clarm101","garca101","thomj101","wangz101","joned101","","","6-3","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"6","","","","F","F","F","F","F","F","F","F","F","walkb101","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,2
"LAN2024091400","NYA",1,0,1,2,1,"BCX",0,0,"johnr101","?","johnr101","?","walkb101","?","walkb101","?","lewij101","martj101","leecj101","robim101","clarm101","garca101","thomj101","wangz101","joned101","","","K","F","F",3,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","walkb101","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3
"LAN2024091400","NYA",1,1,0,0,0,"X",0,0,"garca101","?","garca101","?","jackm101","?","jackm101","?","andep101","johnr101","wilsn101","taylk101","smitb101","davim101","joned101","brownj101","","","","HR.1-H","T","F",7,1,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4
"LAN2024091400","NYA",1,1,0,1,0,"BX",0,2,"leecj101","?","leecj101","?","jackm101","?","jackm101","?","andep101","johnr101","wilsn101","taylk101","smitb101","davim101","joned101","brownj101","","","","W","F","F",4,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"LAN2024091400","NYA",1,1,0,0,0,"X",0,2,"martj101","?","martj101","?","jackm101","?","jackm101","?","andep101","johnr101","wilsn101","taylk101","smitb101","davim101","joned101","brownj101","leecj101","","","6-4-3","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"6","","","","F","F","F","F","F","F","F","F","F","jackm101","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,6
"LAN2024091400","NYA",2,0,0,0,0,"X",0,2,"davim101","?","davim101","?","walkb101","?","walkb101","?","lewij101","martj101","leecj101","robim101","clarm101","garca101","thomj101","wangz101","","","","8","T","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,7
"LAN2024091400","NYA",2,0,1,1,0,"BX",0,2,"brownj101","?","brownj101","?","walkb101","?","walkb101","?","lewij101","martj101","leecj101","robim101","clarm101","garca101","thomj101","wangz101","","","","D8","F","F",9,5,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"LAN2024091400","NYA",2,0,1,2,2,"BCSX",0,2,"wilsn101","?","wilsn101","?","walkb101","?","walkb101","?","lewij101","martj101","leecj101","robim101","clarm101","garca101","thomj101","wangz101","","brownj101","","K","F","F",4,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","walkb101","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9
"LAN2024091400","NYA",2,1,0,0,0,"X",0,2,"wangz101","?","wangz101","?","jackm101","?","jackm101","?","andep101","johnr101","wilsn101","taylk101","smitb101","davim101","joned101","brownj101","","","","S9.1-3","T","F",9,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",1,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
"LAN2024091400","NYA",2,1,0,3,1,"BBBFX",0,2,"thomj101","?","thomj101","?","jackm101","?","jackm101","?","andep101","johnr101","wilsn101","taylk101","smitb101","davim101","joned101","brownj101","wangz101","","","E6.B-2","F","F",8,5,18,"T","T",0,"F","F",0,"F","F",0,"F","F",6,"G","F","F","",1,6,"F",0,"N",0,"N",2,1,0,0,"","","","","F","F","F","F","F","F","F","F","F","jackm101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,11
